Manufacturer,Model,Type,Price,MPG.city,AirBags,Horsepower,Passengers,Rear.seat.room,Luggage.room
Acura,Integra,Small,15.9,25,Driver only,140,5,26.5,11.0
Acura,Legend,Midsize,33.9,18,Driver & Passenger,200,5,30.0,15.0
Audi,90,Compact,29.1,20,Driver only,172,5,28.0,14.0
Audi,100,Midsize,37.7,19,Driver & Passenger,172,6,31.0,17.0
BMW,535i,Midsize,30.0,22,Driver only,208,4,27.0,13.0
Buick,Century,Midsize,15.7,22,Driver only,110,6,28.0,16.0
Buick,LeSabre,Large,20.8,19,Driver only,170,6,30.5,17.0
Buick,Roadmaster,Large,23.7,16,Driver only,180,6,30.5,21.0
Buick,Riviera,Midsize,26.3,19,Driver only,170,5,26.5,14.0
Cadillac,DeVille,Large,34.7,16,Driver only,200,6,35.0,18.0
Cadillac,Seville,Midsize,40.1,16,Driver & Passenger,295,5,31.0,14.0
Chevrolet,Cavalier,Compact,13.4,25,Driver only,110,5,25.0,13.0
Chevrolet,Corsica,Compact,11.4,25,Driver only,110,5,26.0,14.0
Chevrolet,Camaro,Sporty,15.1,19,Driver & Passenger,160,4,25.0,13.0
Chevrolet,Lumina,Midsize,15.9,21,Driver only,110,6,28.5,16.0
Chevrolet,Lumina_APV,Van,16.3,18,Driver only,170,7,30.5,13.890243902439025
Chevrolet,Astro,Van,16.6,15,Driver only,165,8,33.5,13.890243902439025
Chevrolet,Caprice,Large,18.8,17,Driver only,170,6,29.5,20.0
Chevrolet,Corvette,Sporty,38.0,17,Driver only,300,2,27.82967032967033,13.890243902439025
Chrylser,Concorde,Large,18.4,20,Driver & Passenger,153,6,31.0,15.0
Chrysler,LeBaron,Compact,15.8,23,Driver & Passenger,141,6,30.5,14.0
Chrysler,Imperial,Large,29.5,20,Driver only,147,6,36.0,17.0
Dodge,Colt,Small,9.2,29,Driver only,92,5,26.5,11.0
Dodge,Shadow,Small,11.3,23,Driver only,93,5,26.5,13.0
Dodge,Spirit,Compact,13.3,22,Driver only,100,6,30.5,14.0
Dodge,Caravan,Van,19.0,17,Driver only,142,7,26.5,13.890243902439025
Dodge,Dynasty,Midsize,15.6,21,Driver only,100,6,30.5,16.0
Dodge,Stealth,Sporty,25.8,18,Driver only,300,4,20.0,11.0
Eagle,Summit,Small,12.2,29,Driver only,92,5,26.5,11.0
Eagle,Vision,Large,19.3,20,Driver & Passenger,214,6,30.0,15.0
Ford,Festiva,Small,7.4,31,Driver only,63,4,26.0,12.0
Ford,Escort,Small,10.1,23,Driver only,127,5,28.0,12.0
Ford,Tempo,Compact,11.3,22,Driver only,96,5,27.5,13.0
Ford,Mustang,Sporty,15.9,22,Driver only,105,4,24.0,12.0
Ford,Probe,Sporty,14.0,24,Driver only,115,4,23.0,18.0
Ford,Aerostar,Van,19.9,15,Driver only,145,7,30.0,13.890243902439025
Ford,Taurus,Midsize,20.2,21,Driver only,140,5,27.5,18.0
Ford,Crown_Victoria,Large,20.9,18,Driver only,190,6,30.0,21.0
Geo,Metro,Small,8.4,46,Driver only,55,4,27.5,10.0
Geo,Storm,Sporty,12.5,30,Driver only,90,4,24.5,11.0
Honda,Prelude,Sporty,19.8,24,Driver & Passenger,160,4,23.5,8.0
Honda,Civic,Small,12.1,42,Driver only,102,4,28.0,12.0
Honda,Accord,Compact,17.5,24,Driver & Passenger,140,4,28.0,14.0
Hyundai,Excel,Small,8.0,29,Driver only,81,5,26.0,11.0
Hyundai,Elantra,Small,10.0,22,Driver only,124,5,28.0,12.0
Hyundai,Scoupe,Sporty,10.0,26,Driver only,92,4,23.5,9.0
Hyundai,Sonata,Midsize,13.9,20,Driver only,128,5,31.0,14.0
Infiniti,Q45,Midsize,47.9,17,Driver only,278,5,29.0,15.0
Lexus,ES300,Midsize,28.0,18,Driver only,185,5,27.5,14.0
Lexus,SC300,Midsize,35.2,18,Driver & Passenger,225,4,25.0,9.0
Lincoln,Continental,Midsize,34.3,17,Driver & Passenger,160,6,30.0,19.0
Lincoln,Town_Car,Large,36.1,18,Driver & Passenger,210,6,31.5,22.0
Mazda,323,Small,8.3,29,Driver only,82,4,27.0,16.0
Mazda,Protege,Small,11.6,28,Driver only,103,5,26.5,13.0
Mazda,626,Compact,16.5,26,Driver only,164,5,29.5,14.0
Mazda,MPV,Van,19.1,18,Driver only,155,7,27.5,13.890243902439025
Mazda,RX-7,Sporty,32.5,17,Driver only,255,2,27.82967032967033,13.890243902439025
Mercedes-Benz,190E,Compact,31.9,20,Driver only,130,5,26.0,12.0
Mercedes-Benz,300E,Midsize,61.9,19,Driver & Passenger,217,5,27.0,15.0
Mercury,Capri,Sporty,14.1,23,Driver only,100,4,19.0,6.0
Mercury,Cougar,Midsize,14.9,19,Driver only,140,5,28.0,15.0
Mitsubishi,Mirage,Small,10.3,29,Driver only,92,5,26.0,11.0
Mitsubishi,Diamante,Midsize,26.1,18,Driver only,202,5,27.5,14.0
Nissan,Sentra,Small,11.8,29,Driver only,110,5,26.0,12.0
Nissan,Altima,Compact,15.7,24,Driver only,150,5,28.5,14.0
Nissan,Quest,Van,19.1,17,Driver only,151,7,27.0,13.890243902439025
Nissan,Maxima,Midsize,21.5,21,Driver only,160,5,28.5,14.0
Oldsmobile,Achieva,Compact,13.5,24,Driver only,155,5,28.0,14.0
Oldsmobile,Cutlass_Ciera,Midsize,16.3,23,Driver only,110,5,28.0,16.0
Oldsmobile,Silhouette,Van,19.5,18,Driver only,170,7,30.5,13.890243902439025
Oldsmobile,Eighty-Eight,Large,20.7,19,Driver only,170,6,31.5,17.0
Plymouth,Laser,Sporty,14.4,23,Driver only,92,4,24.5,8.0
Pontiac,LeMans,Small,9.0,31,Driver only,74,4,25.5,17.0
Pontiac,Sunbird,Compact,11.1,23,Driver only,110,5,25.0,13.0
Pontiac,Firebird,Sporty,17.7,19,Driver & Passenger,160,4,25.0,13.0
Pontiac,Grand_Prix,Midsize,18.5,19,Driver only,200,5,28.5,16.0
Pontiac,Bonneville,Large,24.4,19,Driver & Passenger,170,6,30.5,18.0
Saab,900,Compact,28.7,20,Driver only,140,5,26.5,14.0
Saturn,SL,Small,11.1,28,Driver only,85,5,26.5,12.0
Subaru,Justy,Small,8.4,33,Driver only,73,4,23.5,10.0
Subaru,Loyale,Small,10.9,25,Driver only,90,5,27.5,15.0
Subaru,Legacy,Compact,19.5,23,Driver only,130,5,27.0,14.0
Suzuki,Swift,Small,8.6,39,Driver only,70,4,27.5,10.0
Toyota,Tercel,Small,9.8,32,Driver only,82,5,24.0,11.0
Toyota,Celica,Sporty,18.4,25,Driver only,135,4,23.0,13.0
Toyota,Camry,Midsize,18.2,22,Driver only,130,5,28.5,15.0
Toyota,Previa,Van,22.7,18,Driver only,138,7,35.0,13.890243902439025
Volkswagen,Fox,Small,9.1,25,Driver only,81,4,26.0,10.0
Volkswagen,Eurovan,Van,19.7,17,Driver only,109,7,34.0,13.890243902439025
Volkswagen,Passat,Compact,20.0,21,Driver only,134,5,31.5,14.0
Volkswagen,Corrado,Sporty,23.3,18,Driver only,178,4,26.0,15.0
Volvo,240,Compact,22.7,21,Driver only,114,5,29.5,14.0
Volvo,850,Midsize,26.7,20,Driver & Passenger,168,5,30.0,15.0
